Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity,target
Fruits & Vegetables,Onion,2500,16,3,2100,1000,False,1,5857.612751232632
Fruits & Vegetables,Tomato Hybrid,4200,16,3,3500,1000,False,1,9762.687918721054
Fruits & Vegetables,Tender Coconut,5100,15,3,4300,58,False,1,11994.159443000151
Fruits & Vegetables,Coriander Leaves,2000,15,3,1700,100,False,100,4741.8769890930835
Fruits & Vegetables,Ladies Finger ,1400,14,3,1200,250,False,250,3347.207286418647
Fruits & Vegetables,Potato,3500,17,3,2900,1000,False,1,8089.08427551173
Fruits & Vegetables,Lemon,7500,16,3,6300,200,False,200,17572.838253697897
Fruits & Vegetables,Watermelon ,5800,15,3,4900,58,False,1,13667.763086209476
Fruits & Vegetables,Capsicum Green ,2300,17,3,1900,250,False,250,5299.744870162857
Fruits & Vegetables,Chilli Green ,1900,15,3,1600,100,False,100,4462.943048558196
Fruits & Vegetables,Banana Robusta,2900,17,3,2400,348,False,6,6694.414572837294
Fruits & Vegetables,Garlic Indian ,1100,18,3,900,100,False,100,2510.4054648139854
Fruits & Vegetables,Cauliflower,2600,15,3,2200,58,False,1,6136.546691767519
Fruits & Vegetables,Ginger,1400,14,3,1200,200,False,200,3347.207286418647
Fruits & Vegetables,Spinach,1900,15,3,1600,250,False,250,4462.943048558196
Fruits & Vegetables,Muskmelon,4200,16,3,3500,58,False,1,9762.687918721054
Fruits & Vegetables,Cabbage ,1500,13,3,1300,58,False,1,3626.1412269535344
Fruits & Vegetables,Methi,3000,16,3,2500,250,False,250,6973.3485133721815
Fruits & Vegetables,Broccoli,3600,16,3,3000,500,False,500,8368.018216046617
Fruits & Vegetables,Sapota,3000,16,3,2500,348,False,6,6973.3485133721815
Fruits & Vegetables,Onion,6800,16,3,5700,3000,False,3,15899.234610488573
Fruits & Vegetables,Potato,10000,16,3,8400,3000,False,3,23430.451004930528
Fruits & Vegetables,Orange Nagpur,8200,15,3,6900,232,False,4,19246.44189690722
Fruits & Vegetables,Mint Leaves ,1100,18,3,900,100,False,100,2510.4054648139854
Fruits & Vegetables,Beans French,3300,15,3,2800,250,False,250,7810.150334976843
Fruits & Vegetables,Bottle Gourd ,2600,15,3,2200,58,False,1,6136.546691767519
Fruits & Vegetables,Banana Elaichi ,5800,15,3,4900,348,False,6,13667.763086209476
Fruits & Vegetables,Coconut Big,3600,16,3,3000,58,False,1,8368.018216046617
Fruits & Vegetables,Curry Leaves,1300,15,3,1100,50,False,50,3068.2733458837597
Fruits & Vegetables,Brinjal Bharta,1900,15,3,1600,58,False,1,4462.943048558196
Fruits & Vegetables,Lettuce Iceberg,2500,16,3,2100,250,False,250,5857.612751232632
Fruits & Vegetables,Papaya,5400,16,3,4500,58,False,1,12552.027324069926
Fruits & Vegetables,Apple Shimla,14200,16,3,11900,232,False,4,33193.13892365158
Fruits & Vegetables,Bitter Gourd,1800,16,3,1500,250,False,250,4184.009108023309
Fruits & Vegetables,Brinjal Small,1800,16,3,1500,250,False,250,4184.009108023309
Fruits & Vegetables,Sweet Corn,3600,16,3,3000,116,False,2,8368.018216046617
Fruits & Vegetables,Spring Onion ,1800,16,3,1500,250,False,250,4184.009108023309
Fruits & Vegetables,Bell Peppers Red & Yellow ,11800,16,3,9900,116,False,2,27614.46011295384
Fruits & Vegetables,Pomegranate ,10600,16,3,8900,116,False,2,24825.120707604965
Fruits & Vegetables,Sweet Lime,3000,16,3,2500,116,False,2,6973.3485133721815
Fruits & Vegetables,Baby Potato,1900,15,3,1600,500,False,500,4462.943048558196
Fruits & Vegetables,Coccinia,3200,15,3,2700,250,False,250,7531.216394441955
Fruits & Vegetables,Guava,5400,16,3,4500,232,False,4,12552.027324069926
Fruits & Vegetables,Apple Washington,17700,15,3,14900,232,False,4,41561.1571396982
Fruits & Vegetables,Amla,3200,15,3,2700,250,False,250,7531.216394441955
Fruits & Vegetables,Beans Cluster,3000,16,3,2500,250,False,250,6973.3485133721815
Fruits & Vegetables,Apple Royal Gala,18900,15,3,15900,232,False,4,44350.49654504707
Fruits & Vegetables,Chilli Bhaji,3000,16,3,2500,250,False,250,6973.3485133721815
Fruits & Vegetables,Lettuce Green,2300,17,3,1900,100,False,100,5299.744870162857
Fruits & Vegetables,Baby Corn Peeled,3500,17,3,2900,250,False,250,8089.08427551173
Fruits & Vegetables,Mixed Sprouts,3500,17,3,2900,200,False,200,8089.08427551173
Fruits & Vegetables,Zucchini Green,3500,17,3,2900,250,False,250,8089.08427551173
Fruits & Vegetables,Beans Broad,4200,16,3,3500,250,False,250,9762.687918721054
Fruits & Vegetables,Raw Banana,2000,15,6,1700,500,False,500,9483.753978186167
Fruits & Vegetables,Colocasia ,2900,17,6,2400,500,False,500,13388.829145674588
Fruits & Vegetables,Tomato Cherry ,3500,17,3,2900,200,False,200,8089.08427551173
Fruits & Vegetables,Sweet Potato ,3800,15,3,3200,500,False,500,8925.886097116392
Fruits & Vegetables,Pineapple Slice,8900,15,3,7500,200,False,200,20920.04554011654
Fruits & Vegetables,Orange,5400,16,3,4500,116,False,2,12552.027324069926
Fruits & Vegetables,Dragon Fruit Imported,7000,15,3,5900,58,False,1,16457.102491558348
Fruits & Vegetables,Zucchini Yellow,4200,16,3,3500,250,False,500,9762.687918721054
Fruits & Vegetables,Apple Kinnaur,14200,16,6,11900,232,False,4,66386.27784730316
Fruits & Vegetables,Pineapple,9400,15,3,7900,58,False,1,22035.78130225609
Fruits & Vegetables,Basil,2000,15,3,1700,100,False,100,4741.8769890930835
Fruits & Vegetables,Parsley,1700,17,3,1400,100,False,100,3905.0751674884214
Fruits & Vegetables,Ridge Gourd,3000,16,3,2500,500,False,500,6973.3485133721815
Fruits & Vegetables,Papaya Cut,4600,15,3,3900,200,False,200,10878.423680860602
Fruits & Vegetables,Pomegranate Peeled,5800,15,2,4900,100,False,100,9111.842057472983
Fruits & Vegetables,Pear Green Imported,8200,15,3,6900,116,False,2,19246.44189690722
Fruits & Vegetables,Guava Thai,7000,15,3,5900,116,False,2,16457.102491558348
Fruits & Vegetables,Lettuce Red,2000,15,3,1700,100,False,100,4741.8769890930835
Fruits & Vegetables,Mango Raw,6000,16,3,5000,500,False,500,13946.697026744363
Fruits & Vegetables,Biryani /Pulav Mix,5800,15,3,4900,250,False,250,13667.763086209476
Fruits & Vegetables,Banana Nendran,5400,16,6,4500,500,False,500,25104.054648139852
Fruits & Vegetables,Pumpkin Cut,3000,16,3,2500,200,False,200,6973.3485133721815
Fruits & Vegetables,Banana Red,5400,16,6,4500,500,False,500,25104.054648139852
Fruits & Vegetables,Radish White,2300,17,6,1900,500,False,500,10599.489740325715
Fruits & Vegetables,Avocado Indian Premium,17700,15,3,14900,58,False,1,41561.1571396982
Fruits & Vegetables,Banana Leaf,1200,16,2,1000,58,False,1,1859.559603565915
Fruits & Vegetables,Sponge Gourd,2500,16,2,2100,300,False,300,3905.0751674884214
Fruits & Vegetables,Zama Organics Carrot,2000,15,3,1700,250,False,250,4741.8769890930835
Fruits & Vegetables,Safal Frozen - Mixed Vegetables,11000,4,2,10500,1000,False,1,19525.37583744211
Fruits & Vegetables,Zama Organics Sweet Potato,3700,16,3,3100,250,False,250,8646.952156581505
Fruits & Vegetables,Beetroot,1600,18,3,1300,500,False,500,3626.1412269535344
Fruits & Vegetables,Capsicum,2600,19,3,2100,500,False,500,5857.612751232632
Fruits & Vegetables,Carrot,1900,21,3,1500,500,False,500,4184.009108023309
Fruits & Vegetables,Garlic,1700,23,3,1300,200,False,200,3626.1412269535344
Fruits & Vegetables,Carrot,1300,15,0,1100,250,True,200,0.0
Fruits & Vegetables,Beetroot,1100,18,0,900,250,True,250,0.0
Fruits & Vegetables,Moong Sprouts,3500,17,0,2900,200,True,200,0.0
Fruits & Vegetables,Safal Frozen Mixed Vegetables,6000,5,0,5700,500,True,500,0.0
Fruits & Vegetables,Safal Frozen Corn,4100,4,0,3900,200,True,200,0.0
Fruits & Vegetables,Safal Frozen - Sweet Corn,16000,5,0,15200,1000,True,1,0.0
Cooking Essentials,Maggi 2 Minute Masala Noodles,1200,0,6,1200,70,False,70,6694.414572837294
Cooking Essentials,iD Idli & Dosa Batter ,8000,15,6,6800,1000,False,1,37935.01591274467
Cooking Essentials,Tata Salt,2400,0,6,2400,1000,False,1,13388.829145674588
Cooking Essentials,Arden Eggs White,9700,0,4,9700,696,False,12,36075.45630917875
Cooking Essentials,Arden Eggs White,6500,15,4,5500,348,False,6,20455.155639225064
Cooking Essentials,Fortune Sunlite Refined Sunflower (Pouch),23000,4,6,21900,1000,False,1,122173.06595428061
Cooking Essentials,Aashirvaad Superior MP Atta,25000,2,6,24500,5000,False,5,136677.63086209475
Cooking Essentials,Amul Pure Ghee (Pouch),25500,2,6,24900,500,False,500,138909.10238637385
Cooking Essentials,Arden Eggs Brown,8500,7,4,7900,348,False,6,29381.041736341456
Cooking Essentials,Tata Salt Lite,4000,10,6,3600,1000,False,1,20083.243718511883
Cooking Essentials,Saffola Gold Oil (Pouch),21500,0,6,21500,1000,False,1,119941.59443000151
Cooking Essentials,Fortune Sunlite Refined Sunflower (Jar),92500,0,6,92500,5000,False,5,516027.7899895414
Cooking Essentials,Fortune Rice Bran (Pouch),22500,11,6,19900,1000,False,1,111015.70833288513
Cooking Essentials,Saffola Active Oil,21000,0,6,21000,1000,False,1,117152.25502465264
Cooking Essentials,Amul Pure Ghee (Pouch),50500,1,2,49900,1000,False,1,92792.02421793916
Cooking Essentials,Aashirvaad Atta,46000,13,6,39900,10000,False,10,222589.28454684003
Cooking Essentials,Popular Essentials Toor Dal (Un-Polished),16000,6,4,14900,1000,False,1,55414.876186264264
Cooking Essentials,Amul Ghee (Tin),52000,2,6,50900,1000,False,1,283954.7514645152
Cooking Essentials,Amul Fresh Cream,19700,3,3,19100,1000,False,1,53276.382642163466
Cooking Essentials,Popular Essentials Pure Jaggery,5000,2,6,4900,450,False,450,27335.52617241895
Cooking Essentials,Aashirvaad Multigrain Atta,6400,3,2,6200,1000,False,1,11529.269542108674
Cooking Essentials,Fortune Soyabean Oil,100500,0,6,99900,5000,False,5,557310.0131887047
Cooking Essentials,Popular Essentials Sunflower Seeds,2500,0,6,2500,50,False,50,13946.697026744363
Cooking Essentials,Tata Sampann kabuli chana,18500,1,4,18300,1000,False,500,68059.88149051249
Cooking Essentials,Dhara Groundnut Oil (Pouch),23000,11,6,20300,1000,False,1,113247.17985716423
Cooking Essentials,Dhara Health Refined Sun Flower Oil Jar,120000,18,6,98400,5000,False,5,548941.9949726581
Cooking Essentials,24 Mantra Organic Jaggery Powder,8000,15,6,6800,500,False,500,37935.01591274467
Cooking Essentials,Tata Sampann High Protien Kabuli Chana,9400,0,1,9400,500,False,500,8739.9301367598
Cooking Essentials,Dhara Kachi Ghani Mustard Oil Jar,125000,8,6,114300,5000,False,5,637642.9880627523
Cooking Essentials,D'lecta Dairy Cream,5400,5,6,5100,200,False,200,28451.2619345585
